id	sentence1	sentence2	is_duplicate
82861 44ae9297-536f-47d3-bc3a-58c7f874c3fc	How do I start learning about artificial intelligence?	How do you learn artificial intelligence?	1.0
275290 18ff3943-87ae-4cff-b2d4-07d773d41579	How can someone learn biochemistry using first principles thinking?	How can someone learn neuroscience using first principles thinking?	0.0
383339 d90fa8a6-17ee-4329-8030-069dae1af598	How do I view a private broadcast on Periscope?	Who is Alexander Khan on Periscope?	0.0
144286 e414ea8e-9edc-40e0-945b-638eb65a0650	What are the best companies for Android developer in Chennai?	Is there any best android app development company in Hyderabad?	0.0
216652 641f4533-be57-4d59-84b5-fe9c23884001	What should I do to get selected in GSOC 2018?	I'm a rookie. How should I start preparing for getting selected in GSoC 17?	1.0
254257 42afcf87-8e31-461f-905b-225d9f916b79	Which from the following will have a stronger impact on the next 10 years: Internet of things, Big Data, virtual reality, 3D impression or drones?	For men, it is said that men in general find it very difficult to understand women, what is your opinion on this?	0.0
231680 89452d90-903c-4c05-bbd4-6ddf70499359	Why do mosquitoes bite some people more than others?	Why do only few people get dengue while most people get mosquito bites?	0.0
368284 9c6d725c-8b2b-4cd6-a973-21bbb6be1f8e	What is the first law of thermodynamics? What are some examples?	What are some examples of the Third Law of Thermodynamics?	0.0
230986 5802c27c-8b56-4c93-92a0-3697974df942	What are some examples of genotypes and phenotypes?	What are genotypes and phenotypes? What are examples of this?	1.0
149313 cf8e909f-17d3-4767-afa6-6982c9154abd	Why is Devil any other than God head of state?	Why does getting hit on the back of the head cause more pain than getting hit in any other part of our head?	0.0
164073 299b018a-c3c1-4773-90f0-7979e8eb842e	Why are LPG storage tanks spherical?	How many people are getting LPG?	0.0
145374 12c1b894-1d9d-43db-8457-7d12457f1cb3	Is a transformer an inductive or capacitive load?	What is capacitive load?	0.0
225525 5b20402a-460c-4149-9fb9-d8ae7efaab54	How do I overcome breakup?	How shall I overcome breakup pain?	0.0
218718 6dc44969-e3a7-4cab-966d-8067662b6d17	Where can I meet British people in the Great Toronto Area?	Where can I meet Aussies in Toronto Canada?	1.0
200442 3e89dd36-6512-433f-a99b-421bb9bebcaa	How do I place my first question on Quora?	How can I ask my question on Quora?	1.0
49946 113ac2f2-bdd3-449e-a24d-578be9492817	Python (programming language): How can I crawl a web page until its end?	What is the future of Python?	0.0
303314 de527c45-bb46-4184-b463-384ac59e0d04	Which is the best Marvel movie ever?	Which is the best Marvel or DC movie (animated)?	0.0
350638 c067403a-8bc7-47d1-9b8d-5ae9a7740ff7	Can you explain Lagrange Multipliers in simple terms?	Why does the method of Lagrange multipliers work for optimization in multivariable calculus?	0.0
320010 de33789e-6a47-4d8e-be15-ea9d641e1303	Is there fee concession when we get good marks in entrance examination in amritha, SRM, bit, and Sastra?	In Java what is a more logical way of writing this iterator() and remove() method from a linked list?	0.0
217570 453c2c1e-f55a-4ada-bd8a-9154139d71af	Who do we fall in love with?	When we fall in love, aren't we just falling in love with ourselves?	0.0
91261 dc939dcd-4494-4bfa-9212-2ec34099e5d6	What is Pakistani youth thinking about the latest Uri terrorism attack?	What do Pakistani residents think of Uri attack?	1.0
167867 074f5c79-a1cb-4688-aa45-6e23f6cdc61b	Do Persian cats make good family pets?	What are persian cats?	0.0
331405 b0c46f9f-1ec5-4b66-a88a-f6c3aaa8363a	Is the decline of e-wallets inevitable after the introduction of UPI in India?	Will Unified Payment Interface (UPI) in India will be a big blow to online payment solutions like Paytm, PayU etc.?	0.0
260162 21d86197-c5f0-4998-a11c-54314f2de8a7	What would have happened if Hillary had won Michigan?	Trump has won. What will happen to the US and the world?	0.0
54999 6be04cc4-3633-47c8-a969-d36948f214ae	What is your process for writing answers on Quora?	What is your writing process on Quora?	1.0
208892 b9ccd13e-4c31-47b9-bcc2-eae5cf90cb40	What are some of the funniest jokes you've ever heard?	What is the best joke you've ever hear?	1.0
152891 15953189-e5ae-4103-ae9e-4e54af7b49e7	How long was the battle of Gettysburg?	How long was the Battle of Gettysburg and how many casualties were suffered?	1.0
177561 81dc687e-2508-4d65-9b90-4ff487b8ed94	What are the repercussions of 500 and 1000 rupee notes not being legal tender anymore?	What could be the consequences of recalling 500 and 1000 rupee note?	1.0
139779 05ffc701-954e-4636-9b59-6d49f4d2c5b0	What is on-site ratio used by IT companies?	What ratios do you use to evaluate the quality of a company?	0.0
215377 03234dd1-ed34-4bf5-af81-36c3f33bb732	How can I get emotionally strong?	How can I become more emotionally strong?	1.0
307035 3fde8534-50c1-4c8e-828c-44c241d66889	What can I do to get better at basketball (shooting, guarding, dribbling, passing etc)?	What can I work on to get better at basketball?	1.0
